c_modes,d_modes,c_mode_label,d_mode_label,c_includes_dc,d_includes_dc,sigma_rank,eta_rank,delta_rank,nuisance_rank,augmented_rank,quotient_gain,meets_nuisance_cap_7,meets_r22_target,full_quotient_target_holds,provenance
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (1, 1), (1, 2))",00|01|02|11,00|01|11|12,True,True,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (1, 1), (2, 0))",00|01|02|11,00|01|11|20,True,True,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (1, 1), (2, 1))",00|01|02|11,00|01|11|21,True,True,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (1, 1), (2, 2))",00|01|02|11,00|01|11|22,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (1, 2), (2, 0))",00|01|02|11,00|01|12|20,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (1, 2), (2, 1))",00|01|02|11,00|01|12|21,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (1, 2), (2, 2))",00|01|02|11,00|01|12|22,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (2, 0), (2, 1))",00|01|02|11,00|01|20|21,True,True,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (2, 0), (2, 2))",00|01|02|11,00|01|20|22,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 1), (2, 1), (2, 2))",00|01|02|11,00|01|21|22,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 0), (1, 1))",00|01|02|11,00|02|10|11,True,True,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 0), (1, 2))",00|01|02|11,00|02|10|12,True,True,2,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 0), (2, 0))",00|01|02|11,00|02|10|20,True,True,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 0), (2, 1))",00|01|02|11,00|02|10|21,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 0), (2, 2))",00|01|02|11,00|02|10|22,True,True,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 1), (1, 2))",00|01|02|11,00|02|11|12,True,True,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 1), (2, 0))",00|01|02|11,00|02|11|20,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 1), (2, 1))",00|01|02|11,00|02|11|21,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 1), (2, 2))",00|01|02|11,00|02|11|22,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 2), (2, 0))",00|01|02|11,00|02|12|20,True,True,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 2), (2, 1))",00|01|02|11,00|02|12|21,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (1, 2), (2, 2))",00|01|02|11,00|02|12|22,True,True,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (2, 0), (2, 1))",00|01|02|11,00|02|20|21,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (2, 0), (2, 2))",00|01|02|11,00|02|20|22,True,True,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (0, 2), (2, 1), (2, 2))",00|01|02|11,00|02|21|22,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (1, 1), (1, 2))",00|01|02|11,00|10|11|12,True,True,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (1, 1), (2, 0))",00|01|02|11,00|10|11|20,True,True,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (1, 1), (2, 1))",00|01|02|11,00|10|11|21,True,True,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (1, 1), (2, 2))",00|01|02|11,00|10|11|22,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (1, 2), (2, 0))",00|01|02|11,00|10|12|20,True,True,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (1, 2), (2, 1))",00|01|02|11,00|10|12|21,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (1, 2), (2, 2))",00|01|02|11,00|10|12|22,True,True,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (2, 0), (2, 1))",00|01|02|11,00|10|20|21,True,True,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (2, 0), (2, 2))",00|01|02|11,00|10|20|22,True,True,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (2, 1), (2, 2))",00|01|02|11,00|10|21|22,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 1), (1, 2), (2, 0))",00|01|02|11,00|11|12|20,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 1), (1, 2), (2, 1))",00|01|02|11,00|11|12|21,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 1), (1, 2), (2, 2))",00|01|02|11,00|11|12|22,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 1), (2, 0), (2, 1))",00|01|02|11,00|11|20|21,True,True,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 1), (2, 0), (2, 2))",00|01|02|11,00|11|20|22,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 1), (2, 1), (2, 2))",00|01|02|11,00|11|21|22,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 2), (2, 0), (2, 1))",00|01|02|11,00|12|20|21,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 2), (2, 0), (2, 2))",00|01|02|11,00|12|20|22,True,True,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 2), (2, 1), (2, 2))",00|01|02|11,00|12|21|22,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (2, 0), (2, 1), (2, 2))",00|01|02|11,00|20|21|22,True,True,6,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 0), (1, 1))",00|01|02|11,01|02|10|11,True,False,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 0), (1, 2))",00|01|02|11,01|02|10|12,True,False,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 0), (2, 0))",00|01|02|11,01|02|10|20,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 0), (2, 1))",00|01|02|11,01|02|10|21,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 0), (2, 2))",00|01|02|11,01|02|10|22,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 1), (1, 2))",00|01|02|11,01|02|11|12,True,False,2,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 1), (2, 0))",00|01|02|11,01|02|11|20,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 1), (2, 1))",00|01|02|11,01|02|11|21,True,False,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 1), (2, 2))",00|01|02|11,01|02|11|22,True,False,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 2), (2, 0))",00|01|02|11,01|02|12|20,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 2), (2, 1))",00|01|02|11,01|02|12|21,True,False,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (1, 2), (2, 2))",00|01|02|11,01|02|12|22,True,False,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (2, 0), (2, 1))",00|01|02|11,01|02|20|21,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (2, 0), (2, 2))",00|01|02|11,01|02|20|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (0, 2), (2, 1), (2, 2))",00|01|02|11,01|02|21|22,True,False,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (1, 1), (1, 2))",00|01|02|11,01|10|11|12,True,False,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (1, 1), (2, 0))",00|01|02|11,01|10|11|20,True,False,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (1, 1), (2, 1))",00|01|02|11,01|10|11|21,True,False,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (1, 1), (2, 2))",00|01|02|11,01|10|11|22,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (1, 2), (2, 0))",00|01|02|11,01|10|12|20,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (1, 2), (2, 1))",00|01|02|11,01|10|12|21,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (1, 2), (2, 2))",00|01|02|11,01|10|12|22,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (2, 0), (2, 1))",00|01|02|11,01|10|20|21,True,False,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (2, 0), (2, 2))",00|01|02|11,01|10|20|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 0), (2, 1), (2, 2))",00|01|02|11,01|10|21|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 1), (1, 2), (2, 0))",00|01|02|11,01|11|12|20,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 1), (1, 2), (2, 1))",00|01|02|11,01|11|12|21,True,False,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 1), (1, 2), (2, 2))",00|01|02|11,01|11|12|22,True,False,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 1), (2, 0), (2, 1))",00|01|02|11,01|11|20|21,True,False,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 1), (2, 0), (2, 2))",00|01|02|11,01|11|20|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 1), (2, 1), (2, 2))",00|01|02|11,01|11|21|22,True,False,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 2), (2, 0), (2, 1))",00|01|02|11,01|12|20|21,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 2), (2, 0), (2, 2))",00|01|02|11,01|12|20|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 2), (2, 1), (2, 2))",00|01|02|11,01|12|21|22,True,False,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (2, 0), (2, 1), (2, 2))",00|01|02|11,01|20|21|22,True,False,6,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (1, 1), (1, 2))",00|01|02|11,02|10|11|12,True,False,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (1, 1), (2, 0))",00|01|02|11,02|10|11|20,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (1, 1), (2, 1))",00|01|02|11,02|10|11|21,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (1, 1), (2, 2))",00|01|02|11,02|10|11|22,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (1, 2), (2, 0))",00|01|02|11,02|10|12|20,True,False,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (1, 2), (2, 1))",00|01|02|11,02|10|12|21,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (1, 2), (2, 2))",00|01|02|11,02|10|12|22,True,False,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (2, 0), (2, 1))",00|01|02|11,02|10|20|21,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (2, 0), (2, 2))",00|01|02|11,02|10|20|22,True,False,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 0), (2, 1), (2, 2))",00|01|02|11,02|10|21|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 1), (1, 2), (2, 0))",00|01|02|11,02|11|12|20,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 1), (1, 2), (2, 1))",00|01|02|11,02|11|12|21,True,False,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 1), (1, 2), (2, 2))",00|01|02|11,02|11|12|22,True,False,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 1), (2, 0), (2, 1))",00|01|02|11,02|11|20|21,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 1), (2, 0), (2, 2))",00|01|02|11,02|11|20|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 1), (2, 1), (2, 2))",00|01|02|11,02|11|21|22,True,False,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 2), (2, 0), (2, 1))",00|01|02|11,02|12|20|21,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 2), (2, 0), (2, 2))",00|01|02|11,02|12|20|22,True,False,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (1, 2), (2, 1), (2, 2))",00|01|02|11,02|12|21|22,True,False,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 2), (2, 0), (2, 1), (2, 2))",00|01|02|11,02|20|21|22,True,False,6,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (1, 1), (1, 2), (2, 0))",00|01|02|11,10|11|12|20,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (1, 1), (1, 2), (2, 1))",00|01|02|11,10|11|12|21,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (1, 1), (1, 2), (2, 2))",00|01|02|11,10|11|12|22,True,False,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (1, 1), (2, 0), (2, 1))",00|01|02|11,10|11|20|21,True,False,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (1, 1), (2, 0), (2, 2))",00|01|02|11,10|11|20|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (1, 1), (2, 1), (2, 2))",00|01|02|11,10|11|21|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (1, 2), (2, 0), (2, 1))",00|01|02|11,10|12|20|21,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (1, 2), (2, 0), (2, 2))",00|01|02|11,10|12|20|22,True,False,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (1, 2), (2, 1), (2, 2))",00|01|02|11,10|12|21|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 0), (2, 0), (2, 1), (2, 2))",00|01|02|11,10|20|21|22,True,False,6,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 1), (1, 2), (2, 0), (2, 1))",00|01|02|11,11|12|20|21,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 1), (1, 2), (2, 0), (2, 2))",00|01|02|11,11|12|20|22,True,False,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 1), (1, 2), (2, 1), (2, 2))",00|01|02|11,11|12|21|22,True,False,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 1), (2, 0), (2, 1), (2, 2))",00|01|02|11,11|20|21|22,True,False,6,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((1, 2), (2, 0), (2, 1), (2, 2))",00|01|02|11,12|20|21|22,True,False,6,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (0, 2), (1, 0))",00|01|02|12,00|01|02|10,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (0, 2), (1, 1))",00|01|02|12,00|01|02|11,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (0, 2), (1, 2))",00|01|02|12,00|01|02|12,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (0, 2), (2, 0))",00|01|02|12,00|01|02|20,True,True,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (0, 2), (2, 1))",00|01|02|12,00|01|02|21,True,True,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (0, 2), (2, 2))",00|01|02|12,00|01|02|22,True,True,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 0), (1, 1))",00|01|02|12,00|01|10|11,True,True,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 0), (1, 2))",00|01|02|12,00|01|10|12,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 0), (2, 0))",00|01|02|12,00|01|10|20,True,True,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 0), (2, 1))",00|01|02|12,00|01|10|21,True,True,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 0), (2, 2))",00|01|02|12,00|01|10|22,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 1), (1, 2))",00|01|02|12,00|01|11|12,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 1), (2, 0))",00|01|02|12,00|01|11|20,True,True,3,7,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 1), (2, 1))",00|01|02|12,00|01|11|21,True,True,3,7,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 1), (2, 2))",00|01|02|12,00|01|11|22,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 2), (2, 0))",00|01|02|12,00|01|12|20,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 2), (2, 1))",00|01|02|12,00|01|12|21,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (1, 2), (2, 2))",00|01|02|12,00|01|12|22,True,True,4,9,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (2, 0), (2, 1))",00|01|02|12,00|01|20|21,True,True,2,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (2, 0), (2, 2))",00|01|02|12,00|01|20|22,True,True,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 1), (2, 1), (2, 2))",00|01|02|12,00|01|21|22,True,True,3,10,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 2), (1, 0), (1, 1))",00|01|02|12,00|02|10|11,True,True,5,8,16,16,16,0,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 2))","((0, 0), (0, 2), (1, 0), (1, 2))",00|01|02|12,00|02|10|12,True,True,4,6,16,16,16,0,False,False,False,EXACT_DERIVED
